subject_id,classification_id,user_name,Enter the locationID (1st row),Enter the locationID (2nd row),Enter the locationID (3rd row),Enter the locationID (4th row),Enter the locationID (5th row),Enter the locationID (6th row),Enter the verbatimDate (1st row),Enter the verbatimDate (2nd row),Enter the verbatimDate (3rd row),Enter the verbatimDate (4th row),Enter the verbatimDate (5th row),Enter the verbatimDate (6th row),Enter the verbatimLatitude and verbatimLongitude (1st row),Enter the decimalLongitude and decimalLatitude (2nd row),Enter the decimalLongitude and decimalLatitude (3rd row),Enter the decimalLongitude and decimalLatitude (4th row),Enter the decimalLongitude and decimalLatitude (5th row),Enter the decimalLongitude and decimalLatitude (6th row),Enter the verbatimDepth (1st row),Enter the verbatimDepth (2nd row),Enter the verbatimDepth (3rd row),Enter the verbatimDepth (4th row),Enter the verbatimDepth (5th row),Enter the verbatimDepth (6th row),Enter the samplingEffort (1st row),Enter the samplingEffort (2nd row),Enter the samplingEffort (3rd row),Enter the samplingEffort (4th row),Enter the samplingEffort (5th row),Enter the samplingEffort (6th row),Enter the individualCount (1st row),Enter the individualCount (2nd row),Enter the individualCount (3rd row),Enter the individualCount (4th row),Enter the individualCount (5th row),Enter the individualCount (6th row),subject_Filename,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,classification_started_at,classification_finished_at
73548659,442677622,Sara_Mulik226,289,289,289,290,290,95,5/XI 1904,5/XI 1904,5/XI 1904,5/XI 1904,5/XI 1904,27/VI 1905,58*44' N 3*21' W,58*44' N 3*21' W,58*44' N 3*21' W,58*08' N 2*24' W,58*08' N 2*24' W,49*56' N 5*00' W,95,95,95,70,75,74,20,60,100,50,90,95,1 ,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.268,2022-10-05 13:18:35 UTC,,,05-Oct-2022 13:13:55,05-Oct-2022 13:18:35
73548659,442699923,reichelivy,289,289,289,290,290,95,5/1X 1904,5/1X 1904,5/1X 1904,5/1X 1904,5/1X 1904,27/VI 1905,58°44´ N 3°21´ W,58°44´ N 3°21´ W,58°44´ N 3°21´ W,58°08´ N 2°24´ W,58°08´ N 2°24´ W,49°56´ N 5°00´ W,95,95,95,70,75,74,20,60,100,50,90,25,1 individu,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.268,2022-10-05 14:45:29 UTC,,,05-Oct-2022 14:34:36,05-Oct-2022 14:45:26
73548659,442722009,lgodbout23,289,289,289,290,290,95,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,27/VI 1905,58°44'N|3°21'W,58°44'N|3°21'W,58°44'N|3°21'W,58°08'N|2°24'W,58°08'N|2°24'W,49°56'N|5°00'W,95,95,95,70,75,74,20,60,100,50,90,25,1,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.268,2022-10-05 16:24:06 UTC,,,05-Oct-2022 14:58:58,05-Oct-2022 16:24:06
73548659,442974576,Heavyn,289,289,289,290,290,95,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,27/VI 1905,58°44'N|3°21'W,58°44'N|3°21'W,58°44'N|3°21'W,58°08'N|2°24'W,58°08'N|2°24'W,49°56'N|5°00'W,95,95,95,70,75,74,20,60,100,50,90,25,1,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.268,2022-10-06 19:09:47 UTC,,,06-Oct-2022 19:02:24,06-Oct-2022 19:09:46
73548659,436967981,cpavloud,289,289,289,290,290,95,5/ΙΧ 1904,5/ΙΧ 1904,5/ΙΧ 1904,5/ΙΧ 1904,5/ΙΧ 1904,27/VI 1905,58°44´N|3°21´W,58°44´N|3°21´W,58°44´N|3°21´W,58°08´N|2°24´W,58°08´N|2°24´W,49°56´N|5°00´W,95,95,95,70,75,74,20,60,100,50,90,25,1,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.255,2022-09-06 18:18:38 UTC,,,06-Sep-2022 18:16:44,06-Sep-2022 18:18:37
73548659,443584428,not-logged-in-9e232498a015f2a6431a,289,289,289,290,290,95,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,27/VI 1905,"58°44' N
3°21' W","58°44' N
3°21' W","58°44' N
3°21' W","58°08' N
3°24' W","58°08' N
3°24' W","49°56' N
5°00' W",95,95,95,70,75,74,20,60,100,50,90,25,1,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.268,2022-10-10 15:44:50 UTC,,,10-Oct-2022 15:40:17,10-Oct-2022 15:44:49
73548659,444869418,not-logged-in-9e411b598a33d43a12e2,289,289,289,290,290,95,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,27/VI 1905,58 44' N I 3 21' W,58 44' N I 3 21' N,58 44' N I 3 21' W,58 08' N I 2 24' W,58 08' N I 2 24' W,49 56' N I 5 00' W,95,95,95,70,75,74,20,60,100,50,90,25,1,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.268,2022-10-17 03:52:03 UTC,,,16-Oct-2022 21:23:13,17-Oct-2022 03:52:15
73548659,442086830,not-logged-in-d6269f04155018b273aa,289,289,289,290,290,95,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,5/IX 1904,27/VI,58*44'N 3*21'W,58*44'N 3*21'W,58*44'N 3*21'W,58*08' N 2*24' W,58*08' N 2*24' W,49*56' N 5*00' W,95,95,95,70,75,"74
",20,60,100,50,90,25,1,1,2,2,4,1,lepadogaster 1.jpg,20922,Lepadogaster,141.268,2022-10-01 21:09:09 UTC,,,26-Sep-2022 17:17:13,01-Oct-2022 21:09:08
73548660,442088829,Sara_Mulik226,200,98,62,63,96,248,16/IX 1906,6/VIII 1908,22/II 1909,22/II 1909,23/VI 1910,29/XI 1910,51*35'N 2*23'E,58*48'N 3*28'W,35*45'N 5*59'W,35*50'N 6*03'W,35*48'N 5*58'W,49*52'N 2*20'W,33,90,58,490,185,>100,60,150,25,600,65,65,3,5,2,2,2,11,lepadogaster 5.jpg,20922,Lepadogaster,141.268,2022-10-01 21:27:07 UTC,,,01-Oct-2022 21:20:31,01-Oct-2022 21:27:07
73548660,443918213,Heavyn,200,98,62,63,96,248,16/IX 1906,6/VIII 1908,22/II 1909,22/II 1909,23/VI 1910,29/IX 1910,51°35' N|2°23' E,58°48' N|3°28' E,35°45' N|5°59' E,35°50' N|6°03' E,35°48' N|5°58' E,49°52' N|2°20' E,33,90,58,490,185,>100,60,150,25,600,65,65,3,5,2,2,2,11,lepadogaster 5.jpg,20922,Lepadogaster,141.268,2022-10-11 22:08:43 UTC,,,06-Oct-2022 19:09:50,11-Oct-2022 22:08:42
73548660,437013172,cpavloud,200,98,62,63,96,248,16/IX 1906,6/VIII 1908,22/II 1909,22/II 1909,23/VI 1910,29/IX 1910,51°35´N|2°23´E,58°48´N|3°28´W,35°45´N|5°59´W,35°50´N|6°03´W,35°48´N|5°58´W,49°52´N|2°20´W,33,90,58,490,185,>100,60,150,25,600,65,65,3,5,2,2,2,11,lepadogaster 5.jpg,20922,Lepadogaster,141.255,2022-09-06 21:15:04 UTC,,,06-Sep-2022 19:17:17,06-Sep-2022 21:15:03
73548660,443727039,not-logged-in-9e232498a015f2a6431a,200,98,62,63,96,248,6/IX 1906,6/VIII 1908,22/II 1909,22/II 1909,23/VI 1910,29/IX 1910,51°35'N | 2°23'E,58°48' N | 3°28' W ,35°45' N | 5°59' W,35°50' N | 6°03' W,35°48' N | 5°58' W,49°52' N | 2°20' W,33,90,58,490,185,>100,60,150,25,600,65,65,3,5,2,2,2,11,lepadogaster 5.jpg,20922,Lepadogaster,141.268,2022-10-11 03:46:49 UTC,,,11-Oct-2022 03:25:09,11-Oct-2022 03:46:48
73548660,443728124,stanstraykidsforclearskin,200,98,62,63,96,248,16/IX 1906,6/VIII 1908,22/II 1909,22/II 1909,23/VI 1910,29/IX 1910,51°35' N | 2°23' E ,58°48' N | 3°28' W,35°45' N | 5°59' W,35°50' N | 6°03' W,35°48' N | 5°58' W,49°52' N | 2°20' W,33,90,58,490,185,>100,60,150,25,600,65,65,3,5,2,2,2,11,lepadogaster 5.jpg,20922,Lepadogaster,141.268,2022-10-11 04:00:07 UTC,,,11-Oct-2022 03:49:56,11-Oct-2022 04:00:05
73548660,444823822,not-logged-in-aa70b3ab651232646ad9,200,98,62,63,96,248,16/IX 1906,6/VIII 1908,22/II 1909,22/II 1909,23/VI 1910,29/IX 1910,51 35' N I 2 23' E,"58 48' N I 28"" W",35 45' N I 5 59' W,35 50'  N I 6 03' W,35 48' N I 5 58' W,49 52' N I 2 20' W,33,90,58,490,185,100,60,150,25,600,65,65,3,5,2,2,2,11,lepadogaster 5.jpg,20922,Lepadogaster,141.268,2022-10-16 21:23:09 UTC,,,16-Oct-2022 21:14:22,16-Oct-2022 21:23:08
73548660,444869830,not-logged-in-77e742eebbd6b5e7283f,0,0,0,0,0,0,0,0,00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,lepadogaster 5.jpg,20922,Lepadogaster,141.268,2022-10-17 03:56:55 UTC,,,17-Oct-2022 03:52:18,17-Oct-2022 03:57:07
73548661,442679739,Sara_Mulik226,163,164,196,196,198,198,22/VIII 1906,23/VIII 1906,14/IX 1906,14/IX 1906,15/IX 1906,15/IX 1906,50*21'N 2*00'W,50*14'N 4*24'W,49*24'N 3*25'W,49*24'N 3*25'W,50*12'N 0*10'W,50*12'N 0*10'W,49,60,76,76,45,45,90,25,65,120,25,65,10 individus,1,39,16,4,29,lepadogaster 4.jpg,20922,Lepadogaster,141.268,2022-10-05 13:30:01 UTC,,,05-Oct-2022 13:18:36,05-Oct-2022 13:30:00
73548661,437122473,cpavloud,163,164,196,196,198,198,22/VIII 1906,23/VIII 1906,14/IX 1906,14/IX 1906,15/IX 1906,15/IX 1906,50°21´N|2°00´W,50°14´N|4°24´W,49°24´N|3°25´W,49°24´N|3°25´W,50°12´N|0°10´W,50°12´N|0°10´W,49,60,76,76,45,45,90,25,65,120,25,65,10,1,39,16,4,29,lepadogaster 4.jpg,20922,Lepadogaster,141.255,2022-09-07 12:53:01 UTC,,,07-Sep-2022 12:49:22,07-Sep-2022 12:53:01
73548661,443728477,stanstraykidsforclearskin,163,164,196,196,198,198,22/VIII 1906,23/VIII 1906,14/IX 1906,14/IX 1906,15/IX 1906,15/IX 1906,50°21' N | 2°00' W,50°14' N | 4°24' W,49°24' N | 3°25' W,49°24' N | 3°25' W,50°12' N | 0°10' W,50°12' N | 0°10' W,49,60,76,76,45,45,90,25,65,120,25,65,10,1,39,16,4,29,lepadogaster 4.jpg,20922,Lepadogaster,141.268,2022-10-11 04:06:53 UTC,,,11-Oct-2022 04:00:07,11-Oct-2022 04:06:52
73548661,443918801,Heavyn,163,164,196,196,198,198,22/VIII 1906,23/VIII 1906,14/IX 1906,14/IX 1906,15/IX 1906,15/IX 1906,50°21' N|2°00' W,50°14' N|4°24' W,49°24' N|3°25' W,49°24' N|3°25' W,50°12' N|0°10' W,50°12' N|0°10' W,49,60,76,76,45,45,90,25,65,120,25,65,10,1,39,16,4,29,lepadogaster 4.jpg,20922,Lepadogaster,141.268,2022-10-11 22:12:54 UTC,,,11-Oct-2022 22:08:45,11-Oct-2022 22:12:54
73548661,444820854,not-logged-in-879d31d898e663e8aa82,163,164,196,196,198,198,22/VIII 1906,23/VIII 1906,14/IX 1906,14/IX 1906,15/IX 1906,15/IX 1906,50 21' N I 2 00' W,50 14' N I 4 24' W,49 24' N I 3 25' W,49 24' N I 3 25' W,50 12' N I 0 10' W,50 12' N I 0 10' W,49,60,76,76,45,45,90,25,65,120,25,65,10,1,39,16,4,29,lepadogaster 4.jpg,20922,Lepadogaster,141.268,2022-10-16 21:04:15 UTC,,,14-Oct-2022 22:43:55,16-Oct-2022 21:04:13
73548661,440906448,not-logged-in-59ab5299c77fc7ac0970,163,164,196,196,198,198,22/VIII 1906,23/VIII 1906,14/IX 1906,14/IX 1906,15/IX 1906,15/IX 1906,50°21' N 2°00' W,50°14' 4°24' W,49°24' N 3°25'W,49°24' N 3°25' W,50°12' N 0°10' W,50°12' N 0°10' W,49,60,76,76,45,45,90,25,65,120,25,65,10 individus,1 individus,39 individus,16 individus,4 individus,29 individus,lepadogaster 4.jpg,20922,Lepadogaster,141.268,2022-09-25 20:35:06 UTC,,,25-Sep-2022 20:28:04,25-Sep-2022 20:35:05
73548661,441197087,not-logged-in-a57b70401122a46b3e7e,163,164,196,196,198,198,22/8/1906,23/8/1906,14/9/1906,14/9/1906,15/9/1906,15/9/1906,50o21'N|2o00'W,50o14'N|4o24'W,49o24'N|3o25'W,49o24'N|3o25'W,50o12'N|0o10'W,50o12'N|0o10'W,49,60,76,76,45,45,90,25,65,120,25,65,10,1,39,16,4,29,lepadogaster 4.jpg,20922,Lepadogaster,141.268,2022-09-27 07:59:15 UTC,,,27-Sep-2022 07:51:35,27-Sep-2022 07:58:12
73548661,441365892,not-logged-in-4b304937bdf032ee0ffa,163,164,196,196,198,198,22/VIII 1906,23/VIII 1906,14/IX 1906,14/IX 1906,15/IX 1906,15IX 1906,50°21'N|2°00'W,50°14'N|4°24'W,49°24'N|3°25'W,49°24'N|3°25'W,50°12'N|0°10'W,50°12'N|0°10'W,49,60,76,76,45,45,90,25,65,120,25,65,10,1,39,16,4,29,lepadogaster 4.jpg,20922,Lepadogaster,141.268,2022-09-27 23:19:48 UTC,,,27-Sep-2022 23:09:30,27-Sep-2022 23:19:46
73548662,442681773,Sara_Mulik226,168,169,169,161,162,163,2/IX 1905,2/IX 1905,2/IX 1905,21/VIII 1906,21/VIII 1906,21/VIII 1906,58*42'N 6*13'W,58*43'N 3*30'W,58*43'N 3*30'W,51*00'N 1*07'W,50*30'N 0*12'W,50*21'N 2*00'W,110,75,75,33,34,49,120,25,65,20,100,25,1,8,5,1,15,2,lepadogaster 3.jpg,20922,Lepadogaster,141.268,2022-10-05 13:37:38 UTC,,,05-Oct-2022 13:30:03,05-Oct-2022 13:37:37
73548662,442696062,reichelivy,168,169,169,161,162,163,2/1X 1905,2/1X 1905,2/1X 1905,21/VIII 1906,21/VIII 1906,22/VIII 1906,58°42´ N 6°13´ W,58°43´ N 6°13´ W,58°43´ N 3°30´ W,51°00´ N 1°07´ E,50°30´ N 0°12´ W,50°21´ N 2°00´ W,110,75,75,33,34,49,120,25,65,20,100,25,1,8,5,1,15,2,lepadogaster 3.jpg,20922,Lepadogaster,141.268,2022-10-05 14:34:33 UTC,,,05-Oct-2022 14:19:32,05-Oct-2022 14:34:31
73548662,442862255,not-logged-in-963f191e71bf14d64c6d,168,169,169,161,162,163,2/IX 1905,2/IX 1905,2/IX 1905,21/VIII 1906,21/VIII 1906,22/VIII 1906,58°42'N|6°13'W,58°43'N|3°30'W,58°43'N|3°30'W,51°00'N|1°07'E,50°30'N|0°12'W,50°21'N|2°00'W,110,75,75,33,34,49,120,25,65,20,100,25,1,8,5,1,15,2,lepadogaster 3.jpg,20922,Lepadogaster,141.268,2022-10-06 10:09:16 UTC,,,06-Oct-2022 10:02:07,06-Oct-2022 10:09:15
73548662,436967569,cpavloud,168,169,169,161,162,163,2/IX 1905,2/IX 1905,2/IX 1905,21/VIII 1906,21/VIII 1906,21/VIII 1906,58°42´N|6°13´W,58°43´N|3°30´W,58°43´N|3°30´W,51°00´N|1°07´E,50°30´N|0°12´W,50°21´N|2°00´W,110,75,75,33,34,49,120,25,65,20,100,25,1,8,5,1,15,2,lepadogaster 3.jpg,20922,Lepadogaster,141.255,2022-09-06 18:16:42 UTC,,,06-Sep-2022 17:25:31,06-Sep-2022 18:16:41
73548662,443782093,lgodbout23,168,169,169,161,162,163,2/IX 1905,2/IX 1905,2/IX 1905,21/VIII 1906,21/VIII 1906,22/VIII 1906,58°42'N|6°13'W,58°43'N|3°30'W,58°43'N|3°30'W,51°00'N|1°07'W,50°30'N|0°12'W,50°21'N|2°00'W,110,75,75,33,34,49,120,25,65,20,100,25,1,8,5,1,15,2,lepadogaster 3.jpg,20922,Lepadogaster,141.268,2022-10-11 13:07:26 UTC,,,11-Oct-2022 13:00:35,11-Oct-2022 13:07:26
73548662,444568610,not-logged-in-27af87e413ceeaee44da,168,169,169,161,162,163,2/IX 1905,2/IX 1905,2/IX 1905,21/VIII 1906,21/VIII 1906,22/VIII 1906,58 42' N I 3 21'W,58 43' I 3 30' W,58 43' N I 3 30' W,51 00' N I 1 07' E,50 30' N I 0 12' W,50 21' N I 2 00' W,110,75,75,33,34,49,120,25,65,20,100,25,1,8,5,1,15,2,lepadogaster 3.jpg,20922,Lepadogaster,141.268,2022-10-14 22:43:35 UTC,,,14-Oct-2022 22:12:25,14-Oct-2022 22:43:34
73548663,442087349,not-logged-in-9e232498a015f2a6431a,96,97,97,98,99,168,27/VI 1905,29/VI 1905,29/VI 1905,29/VI 1905,30/VI 1905,2/IX,50*15' N 4*19'W,50*17'N 3*14'W,50*17'N 3*14'W,50*32'N 1*05'W,50*43'N 0*43'W,58*42'N 6*13'W,50,60,60,60,41,110,65,25,75,40,65,65,3,3,29,1,1,1,lepadogaster 2.jpg,20922,Lepadogaster,141.268,2022-10-01 21:14:32 UTC,,,01-Oct-2022 21:09:13,01-Oct-2022 21:14:32
73548663,442676925,Sara_Mulik226,96,97,97,98,99,168,27/VI 1905,29/VI 1905,29/VI 1905,29/VI 1905,30/VI 1905,2/IX 1905,50*15' N 4*19'W,50*17' N 3*14' W,50*17' N 3*14' W,50*32' N 1*05'W,50*43' N 0*43' W,58*42' N 6*13' W,50,60,60,60,41,110,65,25,75,40,65,65,3,3,29,1,1,1,lepadogaster 2.jpg,20922,Lepadogaster,141.268,2022-10-05 13:13:51 UTC,,,05-Oct-2022 13:08:02,05-Oct-2022 13:13:51
73548663,442702238,reichelivy,96,97,97,98,99,168,27/VI 1905,29/VI 1905,29/VI 1905,29/VI 1905,30/VI 1905,2/IX 1905,50°15´ N 4°19´ W,50°17´ N 3°14´ W,50°17´ N 3°14´ W,50°32´ N 1°05´ W,50°43´ N 0°43´ W,58°42´ N 6°13´ W,50,60,60,60,41,110,65,25,75,40,65,65,3,3,29,1,1,1,lepadogaster 2.jpg,20922,Lepadogaster,141.268,2022-10-05 14:54:53 UTC,,,05-Oct-2022 14:45:36,05-Oct-2022 14:54:50
73548663,436953095,cpavloud,96,97,97,98,99,168,27/VI 1905,29/VI 1905,29/VI 1905,29/VI 1905,30/VI 1905,2/IX 1905,50°15´N|4°19´W,50°17´N|3°14´W,50°17´N|3°14´W,50°32´N|1°05´W,50°43´N|0°43´W,58°42´N|6°13´W,50,60,60,60,41,110,65,25,75,40,65,65,3,3,29,1,1,1,lepadogaster 2.jpg,20922,Lepadogaster,141.255,2022-09-06 17:25:27 UTC,,,06-Sep-2022 17:21:39,06-Sep-2022 17:25:26
73548663,443101146,lgodbout23,96,97,97,98,99,168,27/VI 1905,29/VI 1905,29/VI 1905,29/VI 1905,30/VI 1905,2.IX 1905,50°15'N|4°19'W,50°17'N|3°14'W,50°17'N|3°14'W,50°32'N|1°05'W,50°43'N|0°43'W,58°42'N|6°13'W,50,60,60,60,41,110,65,25,75,40,65,65,3,3,29,1,1,1,lepadogaster 2.jpg,20922,Lepadogaster,141.268,2022-10-07 12:36:05 UTC,,,07-Oct-2022 12:21:17,07-Oct-2022 12:36:05
73548663,443583452,not-logged-in-f6fef890a332f0d31086,96,97,97,98,99,168,27/VI 1905,29/VI 1905,29/VI 1905,29/VI 1905,30/VI 1905,2/IX 1905,50°15' N 4°19' W,50°17' N 3°14' W,50°17' N 3°14' W,50°32' N 1°05' W,50°43' N 0°43' W,58°42' N 6°13' W,50,60,60,60,41,110,65,25,75,40,65,65,3,3,29,1,1,1,lepadogaster 2.jpg,20922,Lepadogaster,141.268,2022-10-10 15:40:15 UTC,,,10-Oct-2022 15:33:16,10-Oct-2022 15:40:15
73548663,443919454,Heavyn,96,97,97,98,99,168,27/VI 1905,29/VI 1905,29/VI 1905,29/VI 1905,30/VI 1905,2/IX 1905,50°15' N|4°19' W,50°17' N|3°14' W,50°17' N|3°14' W,50°32' N|1°05' W,50°43' N|0°43' W,50°42' N|6°13' W,50,60,60,60,41,110,65,25,75,40,65,65,3,3,29,1,1,1,lepadogaster 2.jpg,20922,Lepadogaster,141.268,2022-10-11 22:19:23 UTC,,,11-Oct-2022 22:12:55,11-Oct-2022 22:19:22
73548663,438223507,not-logged-in-803ba0465b79173f6e7e,51°19' N,2°28' W,,,,,99,,,,,,58°42' N 6°13' W,,,,,,110,,,,,,65,,,,,,1,,,,,,lepadogaster 2.jpg,20922,Lepadogaster,141.255,2022-09-13 09:33:00 UTC,,,13-Sep-2022 09:28:22,13-Sep-2022 09:33:00
73548663,444822169,not-logged-in-1796d49c4b851108d365,96,97,97,98,99,168,27/VI 1905,29/VI 1905,29/VI 1905,29/VI 1905,30/VI 1905,2/IX 1905,50 15' N I 4 19' W,50 17' N I 3 14' W,50 17' N I 3 14' W,50 32' N I 1 05' W,50 43' N I 0 43' W,58 42' N I 6 13' W,50,60,60,60,41,110,65,25,75,40,65,65,3,3,29,11,1,1,lepadogaster 2.jpg,20922,Lepadogaster,141.268,2022-10-16 21:14:22 UTC,,,16-Oct-2022 21:04:24,16-Oct-2022 21:14:20
73548663,440330903,not-logged-in-5ac1130c95d3b96527fa,96,97,97,98,99,168,27/VI 1905,29/VI 1905,29/VI 1905,29/VI 1905,30/VI 1905,2/IX 1905,50°15’ N|4°19’ W,50°17’ N|3°14’ W,50°17’ N|3°14’ W,50°32’ N|1°05’ W,50°43’ N|0°43’ W,58°42’ N|6°13’ W,50,60,60,60,41,110,65,25,75,40,65,65,3,3,29,1,1,1,lepadogaster 2.jpg,20922,Lepadogaster,141.268,2022-09-22 18:45:23 UTC,,,22-Sep-2022 18:35:05,22-Sep-2022 18:45:21
73548663,441735991,not-logged-in-12bcc688f5b638724b0e,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,lepadogaster 2.jpg,20922,Lepadogaster,141.268,2022-09-29 18:11:56 UTC,,,29-Sep-2022 18:09:15,29-Sep-2022 18:11:56
